STATE,SEX,AGEGRP,NMEMB,YEAR
Texas,1,20_29,203874,2010
Texas,2,20_29,236271,2010
Texas,1,30_39,261772,2010
Texas,2,30_39,311487,2010
Texas,1,40_49,303968,2010
Texas,2,40_49,357352,2010
Texas,1,50_59,306451,2010
Texas,2,50_59,359170,2010
Texas,1,60_69,96937,2010
Texas,2,60_69,105939,2010
Utah,1,00_04,6207,2010
Utah,2,00_04,5847,2010
Utah,1,05_09,6451,2010
Utah,2,05_09,6186,2010
Utah,1,10_19,11438,2010
Utah,2,10_19,11014,2010
Utah,1,20_29,7786,2010
Utah,2,20_29,8046,2010
Utah,1,30_39,9968,2010
Utah,2,30_39,9971,2010
Utah,1,40_49,8722,2010
Utah,2,40_49,8715,2010
Utah,1,50_59,7913,2010
Utah,2,50_59,7860,2010
Utah,1,60_69,2298,2010
Utah,2,60_69,2555,2010
Vermont,1,00_04,564,2010
Vermont,2,00_04,508,2010
Vermont,1,05_09,814,2010
Vermont,2,05_09,737,2010
Vermont,1,10_19,2097,2010
Vermont,2,10_19,1956,2010
Vermont,1,20_29,1396,2010
Vermont,2,20_29,1355,2010
Vermont,1,30_39,1729,2010
Vermont,2,30_39,1806,2010
Vermont,1,40_49,2678,2010
Vermont,2,40_49,2920,2010
Vermont,1,50_59,3287,2010
Vermont,2,50_59,3354,2010
Vermont,1,60_69,1199,2010
Vermont,2,60_69,1128,2010
Virginia,1,00_04,32418,2010
Virginia,2,00_04,30826,2010
Virginia,1,05_09,38055,2010
Virginia,2,05_09,36979,2010
Virginia,1,10_19,85393,2010
Virginia,2,10_19,82347,2010
Virginia,1,20_29,63266,2010
Virginia,2,20_29,64861,2010
Virginia,1,30_39,83201,2010
Virginia,2,30_39,90244,2010
Virginia,1,40_49,104106,2010
Virginia,2,40_49,116532,2010
Virginia,1,50_59,102314,2010
Virginia,2,50_59,118650,2010
Virginia,1,60_69,33485,2010
Virginia,2,60_69,37450,2010
Washington,1,00_04,12716,2010
