STATE,SEX,POPSIZE,AGEGRP
Wisconsin,2,425921,50_59
Wyoming,1,41860,50_59
Wyoming,2,41958,50_59
Alabama,1,253383,60_69
Alabama,2,285132,60_69
Alaska,1,35556,60_69
Alaska,2,31869,60_69
Arizona,1,334177,60_69
Arizona,2,374720,60_69
Arkansas,1,154203,60_69
Arkansas,2,166912,60_69
California,1,1710688,60_69
California,2,1894847,60_69
Colorado,1,261909,60_69
Colorado,2,275454,60_69
Connecticut,1,184879,60_69
Connecticut,2,205391,60_69
Delaware,1,50692,60_69
Delaware,2,56724,60_69
Washington DC,1,24012,60_69
Washington DC,2,31267,60_69
Florida,1,1083795,60_69
Florida,2,1240569,60_69
Georgia,1,453211,60_69
Georgia,2,511990,60_69
Hawaii,1,77266,60_69
Hawaii,2,80405,60_69
Idaho,1,85779,60_69
Idaho,2,85764,60_69
Illinois,1,614145,60_69
Illinois,2,673539,60_69
Indiana,1,326748,60_69
Indiana,2,353609,60_69
Iowa,1,163655,60_69
Iowa,2,169123,60_69
Kansas,1,139475,60_69
Kansas,2,149493,60_69
Kentucky,1,230340,60_69
Kentucky,2,252130,60_69
Louisiana,1,227669,60_69
Louisiana,2,246222,60_69
Maine,1,84666,60_69
Maine,2,89518,60_69
Maryland,1,285032,60_69
Maryland,2,330717,60_69
Massachusetts,1,336110,60_69
Massachusetts,2,375550,60_69
Michigan,1,534231,60_69
Michigan,2,576270,60_69
Minnesota,1,272489,60_69
Minnesota,2,282573,60_69
Mississippi,1,145063,60_69
Mississippi,2,164272,60_69
Missouri,1,311641,60_69
Missouri,2,338483,60_69
Montana,1,63092,60_69
Montana,2,62068,60_69
Nebraska,1,91932,60_69
Nebraska,2,95984,60_69
Nevada,1,145624,60_69
Nevada,2,152788,60_69
New Hampshire,1,78256,60_69
New Hampshire,2,80157,60_69
New Jersey,1,431837,60_69
New Jersey,2,489204,60_69
New Mexico,1,110376,60_69
New Mexico,2,120460,60_69
New York,1,950300,60_69
New York,2,1087268,60_69
North Carolina,1,496505,60_69
North Carolina,2,558352,60_69
North Dakota,1,36466,60_69
North Dakota,2,34883,60_69
Ohio,1,613407,60_69
Ohio,2,667635,60_69
Oklahoma,1,187836,60_69
Oklahoma,2,207058,60_69
Oregon,1,228640,60_69
Oregon,2,242259,60_69
Pennsylvania,1,692205,60_69
Pennsylvania,2,755051,60_69
Rhode Island,1,53811,60_69
Rhode Island,2,60063,60_69
South Carolina,1,261886,60_69
South Carolina,2,298044,60_69
South Dakota,1,44953,60_69
South Dakota,2,44019,60_69
Tennessee,1,340476,60_69
Tennessee,2,378379,60_69
Texas,1,1118901,60_69
Texas,2,1225440,60_69
