STATE,SEX,AGEGRP,NMEMB
South Dakota,1,60_69,713
South Dakota,2,60_69,736
Tennessee,1,00_04,14960
Tennessee,2,00_04,14130
Tennessee,1,05_09,18815
Tennessee,2,05_09,17704
Tennessee,1,10_19,44866
Tennessee,2,10_19,43263
Tennessee,1,20_29,40044
Tennessee,2,20_29,42395
Tennessee,1,30_39,36067
Tennessee,2,30_39,44586
Tennessee,1,40_49,46017
Tennessee,2,40_49,56262
Tennessee,1,50_59,53267
Tennessee,2,50_59,66463
Tennessee,1,60_69,23700
Tennessee,2,60_69,29972
Texas,1,00_04,49543
Texas,2,00_04,47512
Texas,1,05_09,59657
Texas,2,05_09,56901
Texas,1,10_19,129363
Texas,2,10_19,124593
Texas,1,20_29,114151
Texas,2,20_29,122278
Texas,1,30_39,115365
Texas,2,30_39,135187
Texas,1,40_49,129602
Texas,2,40_49,143132
Texas,1,50_59,131326
Texas,2,50_59,145556
Texas,1,60_69,48164
Texas,2,60_69,53277
Utah,1,00_04,9298
Utah,2,00_04,8768
Utah,1,05_09,10892
Utah,2,05_09,10416
Utah,1,10_19,21734
Utah,2,10_19,20985
Utah,1,20_29,17207
Utah,2,20_29,17651
Utah,1,30_39,16576
Utah,2,30_39,17559
Utah,1,40_49,14974
Utah,2,40_49,15843
Utah,1,50_59,13806
Utah,2,50_59,14633
Utah,1,60_69,5332
Utah,2,60_69,5684
Vermont,1,00_04,273
Vermont,2,00_04,247
Vermont,1,05_09,325
Vermont,2,05_09,317
Vermont,1,10_19,905
Vermont,2,10_19,851
Vermont,1,20_29,1014
Vermont,2,20_29,822
Vermont,1,30_39,849
Vermont,2,30_39,719
Vermont,1,40_49,1084
Vermont,2,40_49,1007
Vermont,1,50_59,1750
Vermont,2,50_59,1673
Vermont,1,60_69,880
Vermont,2,60_69,881
Virginia,1,00_04,11800
Virginia,2,00_04,11317
Virginia,1,05_09,13762
Virginia,2,05_09,13427
Virginia,1,10_19,30767
Virginia,2,10_19,29723
Virginia,1,20_29,29119
Virginia,2,20_29,29796
Virginia,1,30_39,28234
Virginia,2,30_39,31027
Virginia,1,40_49,32497
Virginia,2,40_49,35271
Virginia,1,50_59,38387
Virginia,2,50_59,40704
Virginia,1,60_69,13795
Virginia,2,60_69,14777
Washington,1,00_04,10901
Washington,2,00_04,10470
Washington,1,05_09,13025
Washington,2,05_09,12223
Washington,1,10_19,30625
Washington,2,10_19,29229
Washington,1,20_29,31419
Washington,2,20_29,31220
Washington,1,30_39,26432
Washington,2,30_39,29028
Washington,1,40_49,29611
Washington,2,40_49,34848
Washington,1,50_59,44070
Washington,2,50_59,46793
Washington,1,60_69,17069
Washington,2,60_69,17775
Washington DC,1,00_04,322
Washington DC,2,00_04,331
